role_id,role_name,job_family,synonyms
doctor,Doctor,Healthcare,"doctor|physician|medical doctor|medical officer|mbbs"
nurse,Nurse,Healthcare,"nurse|staff nurse|registered nurse|gnm"
dentist,Dentist,Healthcare,"dentist|dental surgeon|bds"
pharmacist,Pharmacist,Healthcare,"pharmacist|pharmacy|b pharma|d pharma"
teacher,Teacher,Education,"teacher|teaching|educator|school teacher"
professor,Professor,Education,"professor|faculty|lecturer|academic"
accountant,Accountant,Finance,"accountant|accounting|accounts|bookkeeper"
developer,Software Developer,IT,"developer|software developer|programmer|software engineer"
data_analyst,Data Analyst,IT,"data analyst|data analysis|business analyst"
engineer,Engineer,Engineering,"engineer|engineering"
civil_engineer,Civil Engineer,Engineering,"civil engineer|site engineer|structural engineer"
electrical_engineer,Electrical Engineer,Engineering,"electrical engineer|electronics engineer"
sales,Sales,Sales,"sales|sales executive|sales officer"
marketing,Marketing,Marketing,"marketing|digital marketing|brand marketing"
customer_service,Customer Service,Services,"customer service|customer support|customer care|telecaller"
hr,Human Resources,Management,"hr|human resources|recruiter|recruitment"
driver,Driver,Transport,"driver|delivery driver|truck driver|cab driver"
chef,Chef,Hospitality,"chef|cook|kitchen|culinary"
security_guard,Security Guard,Security,"security guard|guard|watchman|security officer"
lawyer,Lawyer,Legal,"lawyer|advocate|attorney|legal"
farmer,Farmer,Agriculture,"farmer|farming|agriculture|agri"
electrician,Electrician,Skilled Trades,"electrician|electrical technician"
plumber,Plumber,Skilled Trades,"plumber|plumbing"
carpenter,Carpenter,Skilled Trades,"carpenter|carpentry"
welder,Welder,Skilled Trades,"welder|welding"
mechanic,Mechanic,Automotive,"mechanic|automobile mechanic|vehicle technician"
beautician,Beautician,Beauty,"beautician|beauty therapist|cosmetologist"
social_worker,Social Worker,Social Services,"social worker|community worker"
