job_id,job_title,company,role_id,job_family,location,address,latitude,longitude,skills,salary,employment_type,description,redirect_url
1,General Physician,City Care Hospital,doctor,Healthcare,Vellore,Vellore Tamil Nadu,12.9165,79.1325,"MBBS,MD,Diagnosis,Patient Care,BLS,Communication",60000,Full-time,General physician required for patient diagnosis and treatment.,
2,Medical Officer,Community Health Centre,doctor,Healthcare,Vellore,Vellore Tamil Nadu,12.92,79.135,"MBBS,Emergency Care,Patient Assessment,BLS,Clinical Documentation",50000,Full-time,Medical officer for community healthcare services.,
3,Staff Nurse,City Care Hospital,nurse,Healthcare,Vellore,Vellore Tamil Nadu,12.918,79.13,"Nursing,Patient Care,BLS,Communication,Clinical Documentation",30000,Full-time,Staff nurse required for hospital patient care.,
4,Registered Nurse,Community Hospital,nurse,Healthcare,Vellore,Vellore Tamil Nadu,12.925,79.14,"Nursing,Patient Care,Medication,Communication",32000,Full-time,Registered nurse for hospital services.,
5,Dentist,Smile Dental Clinic,dentist,Healthcare,Vellore,Vellore Tamil Nadu,12.91,79.12,"BDS,Dental Care,Diagnosis,Patient Care",45000,Full-time,Dentist required for dental clinic.,
6,Pharmacist,Health Plus Pharmacy,pharmacist,Healthcare,Vellore,Vellore Tamil Nadu,12.915,79.125,"Pharmacy,Pharmacology,Medication,Inventory,Communication",28000,Full-time,Pharmacist for community pharmacy.,
7,Mathematics Teacher,ABC Higher Secondary School,teacher,Education,Vellore,Vellore Tamil Nadu,12.92,79.13,"Teaching,Mathematics,Lesson Planning,Classroom Management,Communication",28000,Full-time,Mathematics teacher for secondary school.,
8,Science Teacher,Government School,teacher,Education,Vellore,Vellore Tamil Nadu,12.93,79.14,"Teaching,Science,Lesson Planning,Classroom Management",27000,Full-time,Science teacher required.,
9,English Teacher,Modern School,teacher,Education,Vellore,Vellore Tamil Nadu,12.91,79.145,"Teaching,English,Communication,Lesson Planning",26000,Full-time,English teacher required.,
10,College Professor,Government College,professor,Education,Vellore,Vellore Tamil Nadu,12.905,79.135,"Teaching,Research,Subject Knowledge,Communication",50000,Full-time,Professor for higher education.,
11,Accountant,Local Business Services,accountant,Finance,Vellore,Vellore Tamil Nadu,12.915,79.15,"Accounting,Excel,Tally,Bookkeeping,Finance",30000,Full-time,Accountant required for business operations.,
12,Accounts Executive,ABC Traders,accountant,Finance,Vellore,Vellore Tamil Nadu,12.925,79.125,"Accounting,Excel,Bookkeeping,Taxation",28000,Full-time,Accounts executive required.,
13,Software Developer,Tech Solutions,developer,IT,Vellore,Vellore Tamil Nadu,12.92,79.12,"Python,Java,SQL,Git,Programming",50000,Full-time,Software developer required.,
14,Web Developer,Digital Solutions,developer,IT,Vellore,Vellore Tamil Nadu,12.91,79.13,"HTML,CSS,JavaScript,React,Git",45000,Full-time,Web developer required.,
15,Data Analyst,Analytics Solutions,data_analyst,IT,Vellore,Vellore Tamil Nadu,12.915,79.135,"Python,SQL,Excel,Power BI,Statistics",45000,Full-time,Data analyst for business analytics.,
16,Civil Engineer,Construction Works,civil_engineer,Engineering,Vellore,Vellore Tamil Nadu,12.925,79.13,"Civil Engineering,AutoCAD,Construction,Site Management",45000,Full-time,Civil engineer for construction projects.,
17,Electrical Engineer,Power Systems,electrical_engineer,Engineering,Vellore,Vellore Tamil Nadu,12.93,79.125,"Electrical Engineering,Maintenance,AutoCAD,Electrical Systems",45000,Full-time,Electrical engineer required.,
18,Sales Executive,Local Business Group,sales,Sales,Vellore,Vellore Tamil Nadu,12.915,79.12,"Sales,Communication,Negotiation,Customer Service",25000,Full-time,Sales executive for local business.,
19,Marketing Executive,Digital Marketing Agency,marketing,Marketing,Vellore,Vellore Tamil Nadu,12.92,79.125,"Marketing,Digital Marketing,Social Media,Communication",30000,Full-time,Marketing executive required.,
20,Customer Support Executive,Service Centre,customer_service,Services,Vellore,Vellore Tamil Nadu,12.91,79.135,"Customer Service,Communication,Problem Solving,English",24000,Full-time,Customer support executive.,
21,HR Executive,Local Industries,hr,Management,Vellore,Vellore Tamil Nadu,12.925,79.145,"Recruitment,Human Resources,Communication,Excel",30000,Full-time,HR executive for recruitment and employee management.,
22,Delivery Driver,Local Logistics,driver,Transport,Vellore,Vellore Tamil Nadu,12.915,79.14,"Driving,Navigation,Communication,Vehicle Maintenance",22000,Full-time,Delivery driver for local logistics.,
23,Chef,Local Restaurant,chef,Hospitality,Vellore,Vellore Tamil Nadu,12.92,79.145,"Cooking,Food Safety,Kitchen Management,Food Preparation",25000,Full-time,Chef required for restaurant kitchen.,
24,Security Guard,Security Services,security_guard,Security,Vellore,Vellore Tamil Nadu,12.91,79.14,"Security,Surveillance,Communication,Emergency Response",20000,Full-time,Security guard for local organization.,
25,Lawyer,Legal Services,lawyer,Legal,Vellore,Vellore Tamil Nadu,12.925,79.135,"Law,Legal Research,Communication,Documentation",40000,Full-time,Lawyer for legal services.,
26,Farm Worker,Local Farm,farmer,Agriculture,Vellore,Vellore Tamil Nadu,12.93,79.15,"Agriculture,Farming,Crop Management,Equipment Handling",20000,Full-time,Farm worker required.,
27,Electrician,Local Electrical Services,electrician,Skilled Trades,Vellore,Vellore Tamil Nadu,12.915,79.145,"Electrical Wiring,Maintenance,Repair,Electrical Safety",24000,Full-time,Electrician for residential and commercial work.,
28,Plumber,Local Plumbing Services,plumber,Skilled Trades,Vellore,Vellore Tamil Nadu,12.92,79.15,"Plumbing,Pipe Repair,Maintenance,Problem Solving",23000,Full-time,Plumber required for local services.,
29,Carpenter,Local Furniture Works,carpenter,Skilled Trades,Vellore,Vellore Tamil Nadu,12.925,79.15,"Carpentry,Woodworking,Furniture,Measurement",24000,Full-time,Carpenter for furniture and construction work.,
30,Welder,Industrial Works,welder,Skilled Trades,Vellore,Vellore Tamil Nadu,12.93,79.145,"Welding,Metal Fabrication,Safety,Equipment Handling",26000,Full-time,Welder required for industrial work.,
31,Auto Mechanic,Vehicle Service Centre,mechanic,Automotive,Vellore,Vellore Tamil Nadu,12.91,79.15,"Automobile Repair,Engine Maintenance,Diagnostics,Vehicle Service",28000,Full-time,Automobile mechanic required.,
32,Beautician,Beauty Salon,beautician,Beauty,Vellore,Vellore Tamil Nadu,12.915,79.15,"Beauty Care,Hair Styling,Skincare,Cosmetology",22000,Full-time,Beautician for salon services.,
33,Social Worker,Community Services,social_worker,Social Services,Vellore,Vellore Tamil Nadu,12.92,79.14,"Social Work,Counselling,Communication,Community Outreach",28000,Full-time,Social worker for community development.,
