job_id,job_title,company,location,skill_match,local_bonus,final_score,matched_skills,match_types,recommendation,explanation,skill_summary
L001,Data Entry Operator,Local Office Solutions,Secunderabad,58.0,5.0,63.0,office administration → excel; office administration → ms office; office administration → data entry; customer service → communication,related; related; related; related,Recommended,Strong skill match. office administration matches excel. office administration matches ms office. office administration matches data entry. customer service matches communication. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 63.0%.,4 relevant skill connection(s) found
L014,Office Assistant,Community Office Services,Hyderabad,58.0,5.0,63.0,office administration → ms office; office administration → excel; office administration → data entry; customer service → communication,related; related; related; related,Recommended,Strong skill match. office administration matches ms office. office administration matches excel. office administration matches data entry. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 63.0%.,4 relevant skill connection(s) found
L011,Sales Executive,Local Retail Services,Secunderabad,54.0,5.0,59.0,customer service → sales; customer service → communication; customer service → customer service,related; related; exact,Recommended,Strong skill match. customer service matches sales. customer service matches communication. customer service matches customer service. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 59.0%.,3 relevant skill connection(s) found
L002,Computer Operator,Community Digital Center,Hyderabad,46.0,5.0,51.0,office administration → ms office; office administration → excel; customer service → communication,related; related; related,Recommended,Moderate skill match. office administration matches ms office. office administration matches excel. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 51.0%.,3 relevant skill connection(s) found
L008,Customer Support Executive,Local Service Center,Hyderabad,45.0,5.0,50.0,customer service → communication; customer service → customer service; office administration → problem solving,related; exact; supporting,Recommended,Moderate skill match. customer service matches communication. customer service matches customer service. office administration matches problem solving. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 50.0%.,3 relevant skill connection(s) found
L007,Account Assistant,Community Finance Services,Secunderabad,29.0,5.0,34.0,office administration → excel; office administration → ms office,related; related,Possible Match,Partial skill match. office administration matches excel. office administration matches ms office. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 34.0%.,2 relevant skill connection(s) found
L013,Mobile Repair Technician,Local Electronics Center,Secunderabad,25.0,5.0,30.0,customer service → customer service,exact,Possible Match,Partial skill match. customer service matches customer service. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 30.0%.,1 relevant skill connection(s) found
L012,Teacher,Community Learning Center,Hyderabad,22.0,5.0,27.0,customer service → communication,related,Low Match,Partial skill match. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 27.0%.,1 relevant skill connection(s) found
L003,Python Developer,Hyderabad Tech Solutions,Hyderabad,19.6,5.0,24.6,customer service → communication,related,Low Match,Partial skill match. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 24.6%.,1 relevant skill connection(s) found
L006,Digital Marketing Executive,Local Business Hub,Hyderabad,19.6,5.0,24.6,customer service → communication,related,Low Match,Partial skill match. customer service matches communication. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 24.6%.,1 relevant skill connection(s) found
L005,Data Analyst,City Analytics Services,Hyderabad,14.6,5.0,19.6,office administration → excel,related,Low Match,Partial skill match. office administration matches excel. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 19.6%.,1 relevant skill connection(s) found
L015,Junior Accountant,Local Accounting Services,Secunderabad,14.6,5.0,19.6,office administration → excel,related,Low Match,Partial skill match. office administration matches excel. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 19.6%.,1 relevant skill connection(s) found
L009,Graphic Designer,Local Creative Studio,Secunderabad,13.0,5.0,18.0,office administration → creativity,supporting,Low Match,Partial skill match. office administration matches creativity. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 18.0%.,1 relevant skill connection(s) found
L004,Web Developer,Local Web Services,Secunderabad,0.0,5.0,5.0,,,Low Match,No direct skill match. Local opportunity in or near the candidate's area (Secunderabad). Overall recommendation score: 5.0%.,No matching skills detected
L010,IT Support Technician,Community IT Services,Hyderabad,0.0,5.0,5.0,,,Low Match,No direct skill match. Local opportunity in or near the candidate's area (Hyderabad). Overall recommendation score: 5.0%.,No matching skills detected
