job_id,job_title,company,location,skills,salary,employment_type,experience_years,community_need,title_inference_score,title_matched_skills,local_job,search_text,address
L001,Data Entry Operator,Local Office Solutions,Secunderabad,"MS Excel, MS Office, Data Entry, English Communication",18000,Full-time,0,Administrative services,42.86,"communication, english, office",True,"Data Entry Operator Local Office Solutions Secunderabad MS Excel, MS Office, Data Entry, English Communication","Secunderabad, Telangana"
L002,Computer Operator,Community Digital Center,Hyderabad,"MS Office, Excel, Computer Operations, Communication",16000,Full-time,0,Digital services,50.0,"communication, office",True,"Computer Operator Community Digital Center Hyderabad MS Office, Excel, Computer Operations, Communication","Hyderabad, Telangana"
L003,Python Developer,Hyderabad Tech Solutions,Hyderabad,"Python, SQL, Flask, Git, Communication",35000,Full-time,1,Software development,80.0,"communication, git, python, sql",True,"Python Developer Hyderabad Tech Solutions Hyderabad Python, SQL, Flask, Git, Communication","Hyderabad, Telangana"
L004,Web Developer,Local Web Services,Secunderabad,"HTML, CSS, JavaScript, React, Git",28000,Full-time,1,Web development,80.0,"css, git, javascript, react",True,"Web Developer Local Web Services Secunderabad HTML, CSS, JavaScript, React, Git","Secunderabad, Telangana"
L005,Data Analyst,City Analytics Services,Hyderabad,"Python, SQL, Excel, Power BI, Statistics",32000,Full-time,1,Data services,60.0,"power bi, python, sql",True,"Data Analyst City Analytics Services Hyderabad Python, SQL, Excel, Power BI, Statistics","Hyderabad, Telangana"
L006,Digital Marketing Executive,Local Business Hub,Hyderabad,"Digital Marketing, SEO, Social Media, Communication, Content Writing",22000,Full-time,0,Small business support,71.43,"communication, digital marketing, git, marketing, social media",True,"Digital Marketing Executive Local Business Hub Hyderabad Digital Marketing, SEO, Social Media, Communication, Content Writing","Hyderabad, Telangana"
L007,Account Assistant,Community Finance Services,Secunderabad,"Accounting, Tally, Excel, MS Office",20000,Full-time,1,Financial services,40.0,"accounting, office",True,"Account Assistant Community Finance Services Secunderabad Accounting, Tally, Excel, MS Office","Secunderabad, Telangana"
L008,Customer Support Executive,Local Service Center,Hyderabad,"Communication, Customer Service, English, Problem Solving",19000,Full-time,0,Customer services,75.0,"communication, customer service, problem solving",True,"Customer Support Executive Local Service Center Hyderabad Communication, Customer Service, English, Problem Solving","Hyderabad, Telangana"
L009,Graphic Designer,Local Creative Studio,Secunderabad,"Graphic Design, Photoshop, Illustrator, Creativity",25000,Full-time,1,Creative services,100.0,"graphic design, illustrator, photoshop",True,"Graphic Designer Local Creative Studio Secunderabad Graphic Design, Photoshop, Illustrator, Creativity","Secunderabad, Telangana"
L010,IT Support Technician,Community IT Services,Hyderabad,"Computer Hardware, Networking, Troubleshooting, Windows",24000,Full-time,1,Technical support,75.0,"computer hardware, networking, troubleshooting",True,"IT Support Technician Community IT Services Hyderabad Computer Hardware, Networking, Troubleshooting, Windows","Hyderabad, Telangana"
L011,Sales Executive,Local Retail Services,Secunderabad,"Sales, Communication, Customer Service, Negotiation",21000,Full-time,0,Retail services,75.0,"communication, customer service, sales",True,"Sales Executive Local Retail Services Secunderabad Sales, Communication, Customer Service, Negotiation","Secunderabad, Telangana"
L012,Teacher,Community Learning Center,Hyderabad,"Teaching, Communication, Mathematics, Classroom Management",20000,Full-time,1,Education,75.0,"classroom management, mathematics, teaching",True,"Teacher Community Learning Center Hyderabad Teaching, Communication, Mathematics, Classroom Management","Hyderabad, Telangana"
L013,Mobile Repair Technician,Local Electronics Center,Secunderabad,"Mobile Repair, Electronics, Troubleshooting, Customer Service",22000,Full-time,1,Technical services,100.0,"customer service, electronics, mobile repair, troubleshooting",True,"Mobile Repair Technician Local Electronics Center Secunderabad Mobile Repair, Electronics, Troubleshooting, Customer Service","Secunderabad, Telangana"
L014,Office Assistant,Community Office Services,Hyderabad,"MS Office, Excel, Data Entry, Communication",17000,Full-time,0,Administrative services,60.0,"communication, data entry, office",True,"Office Assistant Community Office Services Hyderabad MS Office, Excel, Data Entry, Communication","Hyderabad, Telangana"
L015,Junior Accountant,Local Accounting Services,Secunderabad,"Accounting, Tally, GST, Excel, Bookkeeping",23000,Full-time,1,Financial services,40.0,"accounting, bookkeeping",True,"Junior Accountant Local Accounting Services Secunderabad Accounting, Tally, GST, Excel, Bookkeeping","Secunderabad, Telangana"
