job_id,job_title,company,location,skills,salary,experience_years,employment_type,community_need,job_text,location_normalized,skills_normalized
L001,Data Entry Operator,Local Office Solutions,Secunderabad,"MS Excel, MS Office, Data Entry, English Communication",18000,0,Full-time,Administrative services,"Data Entry Operator MS Excel, MS Office, Data Entry, English Communication Administrative services",secunderabad,"ms excel, ms office, data entry, english communication"
L002,Computer Operator,Community Digital Center,Hyderabad,"MS Office, Excel, Computer Operations, Communication",16000,0,Full-time,Digital services,"Computer Operator MS Office, Excel, Computer Operations, Communication Digital services",hyderabad,"ms office, excel, computer operations, communication"
L003,Python Developer,Hyderabad Tech Solutions,Hyderabad,"Python, SQL, Flask, Git, Communication",35000,1,Full-time,Software development,"Python Developer Python, SQL, Flask, Git, Communication Software development",hyderabad,"python, sql, flask, git, communication"
L004,Web Developer,Local Web Services,Secunderabad,"HTML, CSS, JavaScript, React, Git",28000,1,Full-time,Web development,"Web Developer HTML, CSS, JavaScript, React, Git Web development",secunderabad,"html, css, javascript, react, git"
L005,Data Analyst,City Analytics Services,Hyderabad,"Python, SQL, Excel, Power BI, Statistics",32000,1,Full-time,Data services,"Data Analyst Python, SQL, Excel, Power BI, Statistics Data services",hyderabad,"python, sql, excel, power bi, statistics"
L006,Digital Marketing Executive,Local Business Hub,Hyderabad,"Digital Marketing, SEO, Social Media, Communication, Content Writing",22000,0,Full-time,Small business support,"Digital Marketing Executive Digital Marketing, SEO, Social Media, Communication, Content Writing Small business support",hyderabad,"digital marketing, seo, social media, communication, content writing"
L007,Account Assistant,Community Finance Services,Secunderabad,"Accounting, Tally, Excel, MS Office",20000,1,Full-time,Financial services,"Account Assistant Accounting, Tally, Excel, MS Office Financial services",secunderabad,"accounting, tally, excel, ms office"
L008,Customer Support Executive,Local Service Center,Hyderabad,"Communication, Customer Service, English, Problem Solving",19000,0,Full-time,Customer services,"Customer Support Executive Communication, Customer Service, English, Problem Solving Customer services",hyderabad,"communication, customer service, english, problem solving"
L009,Graphic Designer,Local Creative Studio,Secunderabad,"Graphic Design, Photoshop, Illustrator, Creativity",25000,1,Full-time,Creative services,"Graphic Designer Graphic Design, Photoshop, Illustrator, Creativity Creative services",secunderabad,"graphic design, photoshop, illustrator, creativity"
L010,IT Support Technician,Community IT Services,Hyderabad,"Computer Hardware, Networking, Troubleshooting, Windows",24000,1,Full-time,Technical support,"IT Support Technician Computer Hardware, Networking, Troubleshooting, Windows Technical support",hyderabad,"computer hardware, networking, troubleshooting, windows"
L011,Sales Executive,Local Retail Services,Secunderabad,"Sales, Communication, Customer Service, Negotiation",21000,0,Full-time,Retail services,"Sales Executive Sales, Communication, Customer Service, Negotiation Retail services",secunderabad,"sales, communication, customer service, negotiation"
L012,Teacher,Community Learning Center,Hyderabad,"Teaching, Communication, Mathematics, Classroom Management",20000,1,Full-time,Education,"Teacher Teaching, Communication, Mathematics, Classroom Management Education",hyderabad,"teaching, communication, mathematics, classroom management"
L013,Mobile Repair Technician,Local Electronics Center,Secunderabad,"Mobile Repair, Electronics, Troubleshooting, Customer Service",22000,1,Full-time,Technical services,"Mobile Repair Technician Mobile Repair, Electronics, Troubleshooting, Customer Service Technical services",secunderabad,"mobile repair, electronics, troubleshooting, customer service"
L014,Office Assistant,Community Office Services,Hyderabad,"MS Office, Excel, Data Entry, Communication",17000,0,Full-time,Administrative services,"Office Assistant MS Office, Excel, Data Entry, Communication Administrative services",hyderabad,"ms office, excel, data entry, communication"
L015,Junior Accountant,Local Accounting Services,Secunderabad,"Accounting, Tally, GST, Excel, Bookkeeping",23000,1,Full-time,Financial services,"Junior Accountant Accounting, Tally, GST, Excel, Bookkeeping Financial services",secunderabad,"accounting, tally, gst, excel, bookkeeping"
